,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow
66,KMIA,Miami International Airport,US,FL,25.7833,-80.3167,27.1,
117,KTPA,Tampa International Airport,US,FL,27.9667,-82.5333,27.2,
102,KSKF,San Antonio / Lackland Air Force Base,US,TX,29.3842,-98.5812,34.4,
46,KMCJ,John Dunn Helistop,US,TX,29.714,-95.395,31.3,
78,KMSY,New Orleans Airport,US,LA,30,-90.0833,26.6,
50,KNIP,Jacksonville Naval Air Station,US,FL,30.2347,-81.6746,23.8,
5,KATT,Camp Mabry/Austin City Asos,US,TX,30.3167,-97.7667,33.1,
69,KMOB,Mobile Regional Airport,US,AL,30.6833,-88.0667,23.9,
34,KELP,El Paso International Airport,US,TX,31.8167,-106.3833,32.7,
107,KSAV,Savannah Airport,US,GA,32.1167,-81.0333,23.5,
49,KHKS,Jackson / Northwest Hills,US,MS,32.3348,-90.2225,28.9,
15,KCNM,Carlsbad / Livingston Wheeler,US,NM,32.3375,-104.2633,34.5,
109,KDTN,Shreveport,US,LA,32.5402,-93.745,32.5,
16,KJZI,Charleston / Grimball Shores,US,SC,32.701,-80.0033,22.3,
103,KSAN,San Diego International Airport,US,CA,32.7333,-117.1833,24.6,
38,KFTW,Fort Worth / Sansom Park,US,TX,32.8198,-97.3624,36.7,
25,KDAL,Dallas / Oldham,US,TX,32.8471,-96.8518,34.4,
86,KPHX,Phoenix Sky Harbor Airport,US,AZ,33.4333,-112.05,38.1,
9,KBHM,Birmingham Airport,US,AL,33.5667,-86.75,26.2,
4,KFTY,Atlanta / Carroll Heights,US,GA,33.7791,-84.5214,24.1,
61,KLGB,Long Beach Airport,US,CA,33.8167,-118.15,25.3,
23,KCUB,Columbia / Arthurtown,US,SC,33.9705,-80.9952,22.9,
126,KILM,Wilmington / The Palms Mobile Home Park,US,NC,34.2706,-77.9026,23.9,
45,KHOT,Hot Springs / Rockwell,US,AR,34.478,-93.0962,30.9,
1,KABQ,Albuquerque International  Airport,US,NM,35.0333,-106.6,28.9,
65,KMEM,Memphis International Airport,US,TN,35.0333,-89.9833,28.4,
37,KFLG,Flagstaff / Fort Tuthill,US,AZ,35.1403,-111.6693,23.2,
18,KCLT,Charlotte/Douglas International Airport,US,NC,35.214,-80.9431,20.7,
2,KAMA,Amarillo International  Airport,US,TX,35.2167,-101.7167,33.3,
82,KTIK,Tinker Air Force Base,US,OK,35.4167,-97.3833,33.2,
106,KSAF,Santa Fe / Cieneguilla,US,NM,35.6171,-106.0894,28.3,
93,KRDU,Raleigh-Durham International  Airport,US,NC,35.9,-78.7667,21.3,
56,KDKX,Knoxville / Island Home,US,TN,35.9638,-83.8737,25,
74,KJWN,John C Tune / Jordonia,US,TN,36.1824,-86.8867,26.4,
120,KTUL,Tulsa International Airport,US,OK,36.2,-95.8881,32,
57,KVGT,Las Vegas / Eastland Heights,US,NV,36.2107,-115.1944,33.5,
39,KFAT,Fresno Air Terminal,US,CA,36.7833,-119.7167,28.5,
123,KNTU,Virginia Beach / Gatewood Park,US,VA,36.8227,-76.0319,23.1,
115,KSGF,Springfield-Branson National,US,MO,37.2333,-93.05,31.2,
97,KROA,Roanoke Regional Airport,US,VA,37.3167,-79.9667,21.9,
96,KRIC,Richmond International  Airport,US,VA,37.5167,-77.3167,23.5,
81,KOAK,Metro Oakland International  Airport,US,CA,37.7167,-122.2333,23.3,
125,KAAO,Wichita / Minneha,US,KS,37.7476,-97.2211,31.6,
63,KSDF,Standiford Field,US,KY,38.1833,-85.7333,26.8,
17,KCRW,Yeager Airport,US,WV,38.3667,-81.6,23.9,
98,KSAC,Sacramento Executive Airport,US,CA,38.5,-121.5,27.4,
100,KCPS,Cahokia / Maplewood Park,US,IL,38.5707,-90.1562,30.2,
124,KDCA,Washington National Airport,US,DC,38.85,-77.0333,24.4,
21,KLUK,Cincinnati / Columbia,US,OH,39.1033,-84.4186,24.8,
52,KMKC,Kansas City / Harlem,US,MO,39.1232,-94.5928,30.6,
40,KGJT,Grand Junction Walker Field,US,CO,39.1333,-108.5333,28.3,
7,KDMH,Baltimore,US,MD,39.2833,-76.6167,23.7,
95,K41U,Manti-Ephraim Airport,US,UT,39.3313,-111.6127,24.5,
,,,,,39.3958,-101.0524,,
94,KRNO,Reno/Tahoe International  Airport,US,NV,39.4833,-119.7667,21.9,
48,KIND,Indianapolis International  Airport,US,IN,39.7167,-86.1167,25.3,
113,KSPI,Springfield / Bando,US,IL,39.8442,-89.6781,29,
85,KPHL,Philadelphia International Airport,US,PA,39.8667,-75.2333,22.5,
26,KBJC,Denver / Broomfield / Countryside,US,CO,39.9088,-105.1172,25.1,
24,KOSU,Columbus / Linworth,US,OH,40.0798,-83.073,23.8,
88,KPIT,Greater Pittsburgh International,US,PA,40.4833,-80.0667,18,
76,KJRB,New York / Wall Street,US,NY,40.7012,-74.009,22.4,
79,KNYC,New York City / Yorkville,US,NY,40.7789,-73.9692,21.6,
101,KSLC,Salt Lake City International  Airport,US,UT,40.7833,-111.9667,27.5,
59,KLNK,Lincoln Municipal Airport,US,NE,40.8333,-96.7647,26.1,
19,KFEW,Cheyenne F E Warren / Warren Air Force Base,US,WY,41.1333,-104.8672,23.5,
,,,,,41.1403,-100.7601,,
77,KHVN,New Haven / Morris Cove,US,CT,41.2638,-72.8868,20,
83,KOMA,Omaha Eppley Airfield,US,NE,41.3,-95.9,22.8,
22,KBKL,Brookville / Old Chinatown,US,PA,41.5175,-81.6833,16,
27,KDSM,Des Moines International,US,IA,41.5333,-93.6531,22.2,
118,KTDZ,Toledo / Cummings (Historical),US,OH,41.5649,-83.4822,18.8,
91,KPVD,Providence Green State Airport,US,RI,41.7333,-71.4333,18.2,
20,KMDW,Chicago Midway Airport,US,IL,41.7833,-87.75,19.2,
55,KLMT,Klamath Falls / Falcon Heights,US,OR,42.1561,-121.7332,18.2,
114,KCEF,Chicopee Falls / Westover Air Force Base,US,MA,42.2,-72.5333,17.9,
12,KBOS,Boston Logan International,US,MA,42.3667,-71.0167,18,
28,KDET,Detroit / Hamtramck,US,MI,42.4092,-83.0099,17,
0,KPSF,Barkerville,US,MA,42.42,-73.28,13.3,
29,KPVB,Platteville / Ipswich,US,WI,42.6894,-90.4444,17,
41,KGRR,Gerald R. Ford International,US,MI,42.8833,-85.5167,15.6,
64,KMHT,Manchester Airport,US,NH,42.9296,-71.4356,17.2,
13,KBUF,Buffalo Airport,US,NY,42.9333,-78.7333,14.5,
67,KMKE,Gen Mitchell International Airport,US,WI,42.955,-87.9044,12.2,
60,CYXU,London International Airport,CA,ON,43.03,-81.15,16.2,
116,KSYR,Syracuse Hancock International  Airport,US,NY,43.1167,-76.1,12.8,
,,jacksonn ,,,43.4799,-110.7624,,
47,KIDA,Idaho Falls / Orvin,US,ID,43.5137,-112.0708,24.9,
11,KBOI,Boise Air Terminal,US,ID,43.5667,-116.2333,21.4,
110,KFSD,Sioux Falls Foss Field,US,SD,43.5833,-96.75,21.7,
89,KPWM,Portland International  Jetport,US,ME,43.65,-70.1333,13.1,
119,CXTO,Toronto City,CA,ON,43.67,-79.4,15.5,
71,KMPV,Montpelier / Berlin Corners,US,VT,44.2035,-72.5623,9.7,
54,CYGK,Kingston,CA,ON,44.2167,-76.6,13.3,
87,KPIR,Pierre / Alto,US,SD,44.3827,-100.286,23.3,
,,,,,44.6509,-63.5923,,
8,KBGR,Bangor / Martells Mobile Home Court,US,ME,44.8074,-68.8281,11.4,
6,KBKE,Baker / Estes (Historical),US,OR,44.8373,-117.8091,22,
68,KSTP,Saint Paul,US,MN,44.9346,-93.0603,16.9,
31,CWSS,St. Stephen,CA,NB,45.21,-67.25,11.3,
84,CYOW,Ottawa International Airport,CA,ON,45.32,-75.67,12,
99,CYSJ,Saint John Airport,CA,NB,45.32,-65.89,10,
72,CWTA,Montreal McTavish,CA,QC,45.5,-73.58,11,
90,KPDX,Portland International  Airport,US,OR,45.5833,-122.6,19.1,
,,,,,46.0878,-64.7782,,
,,,,,46.2382,-63.1311,,
58,KLWS,Lewiston Nez Perce Co Airport,US,ID,46.3667,-117.0167,23.9,
,,,,,46.3934,-63.7902,,
,,,,,46.4083,-105.8406,,
43,KHLN,Helena Regional Airport,US,MT,46.6,-111.9667,23.9,
10,KBIS,Bismarck Municipal Airport,US,ND,46.7833,-100.75,15.8,
30,KDLH,Duluth International Airport,US,MN,46.8333,-92.2167,8.3,
92,CXBO,Beauport,CA,QC,46.84,-71.2,10.4,
36,KFAR,Hector International Airport,US,ND,46.9333,-96.8167,17.2,
108,KBFI,Seattle / South Park,US,WA,47.53,-122.302,18.4,
,,,,,47.5556,-52.7453,,
112,KGEG,Spokane International Airport,US,WA,47.6167,-117.5333,17.6,
,,,,,48.3809,-89.2477,,
122,CWLM,Victoria Gonzales CS,CA,BC,48.41,-123.32,15,
,,,,,48.4757,-81.3305,,
42,KHVR,Havre City-County Airport,US,MT,48.55,-109.7667,16.7,
,,,,,48.9565,-54.6084,,
121,CYVR,Vancouver International Airport,CA,BC,49.19,-123.18,15.2,
75,CWNM,Nelson CS,CA,BC,49.49,-117.31,18,
127,CXWN,Winnipeg The Forks,CA,MB,49.89,-97.13,11.6,
,,,,,50.1162,-122.9535,,
73,CZMJ,Moose Jaw CS,CA,SK,50.33,-105.54,12.1,
14,CYYC,Calgary International Airport,CA,AB,51.12,-114.01,12,
,,,,,51.372,-55.5978,,
,,,,,53.5317,-64.0064,,
32,CXEC,Edmonton Blatchford,CA,AB,53.57,-113.52,11.8,
,,,,,55.7451,-97.8509,,
,,,,,56.7266,-111.379,,
,,,,,58.1991,-62.6259,,
51,PAJN,Juneau International Airport,US,AK,58.35,-134.5667,10.7,
,,,,,58.805,-122.6972,,
,,,,,59.57,-108.6445,,
,,,,,60.7197,-135.0523,,
3,PALH,Anchorage / Turnagain Heights,US,AK,61.18,-149.9719,6.7,
,,,,,62.454,-114.3718,,
,,,,,63.7467,-68.517,,
,,,,,64.3176,-96.022,,
80,PAOM,Nome Airport,US,AK,64.5167,-165.4333,0.9,
,,,,,68.3594,-133.7294,,
,,,,,69.1169,-105.0597,,
,,,,,74.6973,-94.8297,,
,,,,,79.9889,-85.9408,,
,,,,,54.3667,-82.5167,,
,,,,,76.03333,-94.73333,,
