,ORDEREDINDEX,ICAO,Name,Country,Region,Latitude,Longitude,Ctemp,Snow,RGBA,Sunrise,Sunset
0,0,KTPA,Tampa International Airport,US,FL,27.9667,-82.5333,23.0,,"[0.6604278074866311, 0.0, 0.0, 1.0]",2025-11-10 03:41:00-08:00,2025-11-10 14:32:36-08:00
1,1,KNIP,Jacksonville Naval Air Station,US,FL,30.2347,-81.6746,19.5,,"[0.9812834224598939, 0.058823529411765274, 0.0, 1.0]",2025-11-10 03:41:00-08:00,2025-11-10 14:25:24-08:00
2,2,KMIA,Miami International Airport,US,FL,25.7833,-80.3167,25.0,,"[0.5, 0.0, 0.0, 1.0]",2025-11-10 03:28:24-08:00,2025-11-10 14:27:12-08:00
3,3,KMOB,Mobile Regional Airport,US,AL,30.6833,-88.0667,10.0,,"[1.0, 0.7269426289034134, 0.0, 1.0]",2025-11-10 04:07:24-08:00,2025-11-10 14:50:00-08:00
4,4,KMSY,New Orleans Airport,US,LA,30.0,-90.0833,13.0,,"[1.0, 0.5236020334059556, 0.0, 1.0]",2025-11-10 04:14:36-08:00,2025-11-10 14:59:36-08:00
5,5,KHOU,Houston Hobby Airport,US,TX,29.6375,-95.2825,14.0,,"[1.0, 0.4509803921568629, 0.0, 1.0]",2025-11-10 04:34:24-08:00,2025-11-10 15:20:36-08:00
6,6,KSKF,San Antonio / Lackland Air Force Base,US,TX,29.3842,-98.5812,15.0,,"[1.0, 0.3783587509077707, 0.0, 1.0]",2025-11-10 04:47:36-08:00,2025-11-10 15:34:24-08:00
7,7,KATT,Camp Mabry/Austin City Asos,US,TX,30.3167,-97.7667,12.2,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2025-11-10 04:45:48-08:00,2025-11-10 15:29:36-08:00
8,8,KDTN,Shreveport,US,LA,32.5402,-93.745,9.7,,"[1.0, 0.7559912854030507, 0.0, 1.0]",2025-11-10 04:33:12-08:00,2025-11-10 15:09:48-08:00
9,9,KHKS,Jackson / Northwest Hills,US,MS,32.3348,-90.2225,8.3,,"[1.0, 0.8576615831517794, 0.0, 1.0]",2025-11-10 04:18:48-08:00,2025-11-10 14:56:00-08:00
10,10,KBHM,Birmingham Airport,US,AL,33.5667,-86.75,11.6,,"[1.0, 0.6107480029048659, 0.0, 1.0]",2025-11-10 04:06:48-08:00,2025-11-10 14:39:48-08:00
11,11,KFTY,Atlanta / Carroll Heights,US,GA,33.7791,-84.5214,6.9,,"[0.9709044908285893, 0.9593318809005086, 0.0, 1.0]",2025-11-10 03:58:24-08:00,2025-11-10 14:30:12-08:00
12,12,KSAV,Savannah Airport,US,GA,32.1167,-81.0333,15.3,,"[1.0, 0.34931009440813376, 0.0, 1.0]",2025-11-10 03:41:36-08:00,2025-11-10 14:19:24-08:00
13,13,KJZI,Charleston / Grimball Shores,US,SC,32.701,-80.0033,15.3,,"[1.0, 0.34931009440813376, 0.0, 1.0]",2025-11-10 03:38:36-08:00,2025-11-10 14:14:36-08:00
14,14,KCUB,Columbia / Arthurtown,US,SC,33.9705,-80.9952,10.8,,"[1.0, 0.6688453159041396, 0.0, 1.0]",2025-11-10 03:44:36-08:00,2025-11-10 14:15:48-08:00
15,15,KCLT,Charlotte/Douglas International Airport,US,NC,35.214,-80.9431,11.0,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2025-11-10 03:47:00-08:00,2025-11-10 14:13:24-08:00
16,16,KDKX,Knoxville / Island Home,US,TN,35.9638,-83.8737,4.8,,"[0.844402277039848, 1.0, 0.12333965844402273, 1.0]",2025-11-10 03:59:36-08:00,2025-11-10 14:23:36-08:00
17,17,KJWN,John C Tune / Jordonia,US,TN,36.1824,-86.8867,2.4,,"[0.6925996204933585, 1.0, 0.27514231499051234, 1.0]",2025-11-10 04:12:12-08:00,2025-11-10 14:35:36-08:00
18,18,KMEM,Memphis International Airport,US,TN,35.0333,-89.9833,4.0,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 04:22:24-08:00,2025-11-10 14:50:00-08:00
19,19,KHOT,Hot Springs / Rockwell,US,AR,34.478,-93.0962,5.0,,"[0.8570524984187222, 1.0, 0.11068943706514867, 1.0]",2025-11-10 04:33:48-08:00,2025-11-10 15:03:12-08:00
20,20,KDAL,Dallas / Oldham,US,TX,32.8471,-96.8518,11.8,,"[1.0, 0.5962236746550474, 0.0, 1.0]",2025-11-10 04:46:24-08:00,2025-11-10 15:21:12-08:00
21,21,KTIK,Tinker Air Force Base,US,OK,35.4167,-97.3833,1.0,,"[0.6040480708412397, 1.0, 0.3636938646426312, 1.0]",2025-11-10 04:53:00-08:00,2025-11-10 15:18:48-08:00
22,22,KTUL,Tulsa International Airport,US,OK,36.2,-95.8881,0.0,,"[0.5407969639468686, 1.0, 0.4269449715370023, 1.0]",2025-11-10 04:48:12-08:00,2025-11-10 15:11:36-08:00
23,23,KSGF,Springfield-Branson National,US,MO,37.2333,-93.05,-4.0,,"[0.30044275774826057, 1.0, 0.6672991777356103, 1.0]",2025-11-10 04:39:12-08:00,2025-11-10 14:57:48-08:00
24,24,KCPS,Cahokia / Maplewood Park,US,IL,38.5707,-90.1562,-1.0,,"[0.4901960784313725, 1.0, 0.4775458570524984, 1.0]",2025-11-10 04:30:12-08:00,2025-11-10 14:44:00-08:00
25,25,KSDF,Standiford Field,US,KY,38.1833,-85.7333,5.9,,"[0.9076533839342187, 1.0, 0.06008855154965209, 1.0]",2025-11-10 04:11:36-08:00,2025-11-10 14:26:36-08:00
26,26,KCRW,Yeager Airport,US,WV,38.3667,-81.6,3.0,,"[0.730550284629981, 1.0, 0.23719165085388993, 1.0]",2025-11-10 03:55:24-08:00,2025-11-10 14:09:48-08:00
27,27,KROA,Roanoke Regional Airport,US,VA,37.3167,-79.9667,9.5,,"[1.0, 0.7705156136528688, 0.0, 1.0]",2025-11-10 03:47:00-08:00,2025-11-10 14:05:36-08:00
28,28,KRDU,Raleigh-Durham International  Airport,US,NC,35.9,-78.7667,14.6,,"[1.0, 0.40740740740740755, 0.0, 1.0]",2025-11-10 03:39:12-08:00,2025-11-10 14:03:48-08:00
29,29,KILM,Wilmington / The Palms Mobile Home Park,US,NC,34.2706,-77.9026,16.3,,"[1.0, 0.27668845315904156, 0.0, 1.0]",2025-11-10 03:32:36-08:00,2025-11-10 14:03:12-08:00
30,30,KRIC,Richmond International  Airport,US,VA,37.5167,-77.3167,8.5,,"[1.0, 0.843137254901961, 0.0, 1.0]",2025-11-10 03:36:48-08:00,2025-11-10 13:54:48-08:00
31,31,KNTU,Virginia Beach / Gatewood Park,US,VA,36.8227,-76.0319,19.0,,"[1.0, 0.08787218591140178, 0.0, 1.0]",2025-11-10 03:30:12-08:00,2025-11-10 13:50:36-08:00
32,32,KDMH,Baltimore,US,MD,39.2833,-76.6167,6.4,,"[0.9456040480708408, 0.9883805374001459, 0.022137887413030133, 1.0]",2025-11-10 03:37:24-08:00,2025-11-10 13:48:12-08:00
33,33,KPIT,Greater Pittsburgh International,US,PA,40.4833,-80.0667,3.2,,"[0.7432005060088547, 1.0, 0.2245414294750162, 1.0]",2025-11-10 03:53:36-08:00,2025-11-10 13:59:36-08:00
34,34,KOSU,Columbus / Linworth,US,OH,40.0798,-83.073,2.9,,"[0.730550284629981, 1.0, 0.23719165085388993, 1.0]",2025-11-10 04:05:00-08:00,2025-11-10 14:12:12-08:00
35,35,KIND,Indianapolis International  Airport,US,IN,39.7167,-86.1167,-2.0,,"[0.42694497153700184, 1.0, 0.540796963946869, 1.0]",2025-11-10 04:16:24-08:00,2025-11-10 14:25:24-08:00
36,36,KSPI,Springfield / Bando,US,IL,39.8442,-89.6781,-0.1,,"[0.5407969639468686, 1.0, 0.4269449715370023, 1.0]",2025-11-10 04:30:48-08:00,2025-11-10 14:39:12-08:00
37,37,KMKC,Kansas City / Harlem,US,MO,39.1232,-94.5928,2.7,,"[0.7179000632511068, 1.0, 0.2498418722327641, 1.0]",2025-11-10 04:48:48-08:00,2025-11-10 15:00:12-08:00
38,38,KAAO,Wichita / Minneha,US,KS,37.7476,-97.2211,4.0,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 04:56:36-08:00,2025-11-10 15:13:24-08:00
39,39,KAMA,Amarillo International  Airport,US,TX,35.2167,-101.7167,6.4,,"[0.9456040480708408, 0.9883805374001459, 0.022137887413030133, 1.0]",2025-11-10 05:09:48-08:00,2025-11-10 15:36:48-08:00
40,40,KCNM,Carlsbad / Livingston Wheeler,US,NM,32.3375,-104.2633,11.7,,"[1.0, 0.6107480029048659, 0.0, 1.0]",2025-11-10 05:15:12-08:00,2025-11-10 15:51:48-08:00
41,41,KELP,El Paso International Airport,US,TX,31.8167,-106.3833,13.0,,"[1.0, 0.5236020334059556, 0.0, 1.0]",2025-11-10 05:22:24-08:00,2025-11-10 16:01:24-08:00
42,42,KABQ,Albuquerque International  Airport,US,NM,35.0333,-106.6,7.0,,"[0.9835547122074635, 0.9448075526506902, 0.0, 1.0]",2025-11-10 05:29:00-08:00,2025-11-10 15:56:36-08:00
43,43,KPHX,Phoenix Sky Harbor Airport,US,AZ,33.4333,-112.05,24.2,,"[0.553475935828877, 0.0, 0.0, 1.0]",2025-11-10 05:48:12-08:00,2025-11-10 16:21:12-08:00
44,44,KSAN,San Diego International Airport,US,CA,32.7333,-117.1833,19.6,,"[0.9634581105169343, 0.04429920116194641, 0.0, 1.0]",2025-11-10 06:07:24-08:00,2025-11-10 16:42:48-08:00
45,45,KLGB,Long Beach Airport,US,CA,33.8167,-118.15,17.0,,"[1.0, 0.2331154684095862, 0.0, 1.0]",2025-11-10 06:13:24-08:00,2025-11-10 16:44:36-08:00
46,46,KVGT,Las Vegas / Eastland Heights,US,NV,36.2107,-115.1944,19.8,,"[0.9456327985739753, 0.029774872912127992, 0.0, 1.0]",2025-11-10 06:05:36-08:00,2025-11-10 16:28:24-08:00
47,47,KFLG,Flagstaff / Fort Tuthill,US,AZ,35.1403,-111.6693,6.5,,"[0.9456040480708408, 0.9883805374001459, 0.022137887413030133, 1.0]",2025-11-10 05:49:24-08:00,2025-11-10 16:16:24-08:00
48,48,KCBK,Colby,US,KS,39.4274,-101.0466,-4.0,,"[0.30044275774826057, 1.0, 0.6672991777356103, 1.0]",2025-11-10 05:15:12-08:00,2025-11-10 15:25:24-08:00
49,49,KLBF,North Platte Regional Airport,US,NE,41.1167,-100.6667,-1.1,,"[0.47754585705249836, 1.0, 0.4901960784313726, 1.0]",2025-11-10 05:17:36-08:00,2025-11-10 15:20:00-08:00
50,50,KDSM,Des Moines International,US,IA,41.5333,-93.6531,1.7,,"[0.6546489563567361, 1.0, 0.31309297912713474, 1.0]",2025-11-10 04:50:00-08:00,2025-11-10 14:51:12-08:00
51,51,KPVB,Platteville / Ipswich,US,WI,42.6894,-90.4444,-3.2,,"[0.3510436432637571, 1.0, 0.6166982922201139, 1.0]",2025-11-10 04:39:48-08:00,2025-11-10 14:35:36-08:00
52,52,KMDW,Chicago Midway Airport,US,IL,41.7833,-87.75,-2.8,,"[0.3763440860215053, 1.0, 0.5913978494623656, 1.0]",2025-11-10 04:27:12-08:00,2025-11-10 14:27:12-08:00
53,53,KMKE,Gen Mitchell International Airport,US,WI,42.955,-87.9044,-2.0,,"[0.42694497153700184, 1.0, 0.540796963946869, 1.0]",2025-11-10 04:30:12-08:00,2025-11-10 14:24:48-08:00
54,54,KGRR,Gerald R. Ford International,US,MI,42.8833,-85.5167,-2.2,,"[0.4142947501581275, 1.0, 0.5534471853257434, 1.0]",2025-11-10 04:20:36-08:00,2025-11-10 14:15:48-08:00
55,55,KDET,Detroit / Hamtramck,US,MI,42.4092,-83.0099,-0.8,,"[0.4901960784313725, 1.0, 0.4775458570524984, 1.0]",2025-11-10 04:09:48-08:00,2025-11-10 14:06:48-08:00
56,56,KBUF,Buffalo Airport,US,NY,42.9333,-78.7333,2.8,,"[0.7179000632511068, 1.0, 0.2498418722327641, 1.0]",2025-11-10 03:53:36-08:00,2025-11-10 13:48:12-08:00
57,57,KPHL,Philadelphia International Airport,US,PA,39.8667,-75.2333,15.0,,"[1.0, 0.3783587509077707, 0.0, 1.0]",2025-11-10 03:33:12-08:00,2025-11-10 13:41:36-08:00
58,58,KJRB,New York / Wall Street,US,NY,40.7012,-74.009,8.4,,"[1.0, 0.843137254901961, 0.0, 1.0]",2025-11-10 03:29:36-08:00,2025-11-10 13:34:24-08:00
59,59,KHVN,New Haven / Morris Cove,US,CT,41.2638,-72.8868,14.0,,"[1.0, 0.4509803921568629, 0.0, 1.0]",2025-11-10 03:26:36-08:00,2025-11-10 13:29:00-08:00
60,60,CYGK,Kingston,CA,ON,44.2167,-76.6,3.6,,"[0.7685009487666034, 1.0, 0.19924098671726753, 1.0]",2025-11-10 03:48:12-08:00,2025-11-10 13:36:48-08:00
61,61,KSTP,Saint Paul,US,MN,44.9346,-93.0603,-3.6,,"[0.3257432005060088, 1.0, 0.6419987349778622, 1.0]",2025-11-10 04:56:00-08:00,2025-11-10 14:41:00-08:00
62,62,KLYV,Luverne,US,MN,43.6168,-96.2177,-2.0,,"[0.42694497153700184, 1.0, 0.540796963946869, 1.0]",2025-11-10 05:05:36-08:00,2025-11-10 14:56:36-08:00
63,63,KCDR,Chadron / J And L Trailer Court,US,NE,42.8376,-103.0954,-2.3,,"[0.4016445287792536, 1.0, 0.5660974067046174, 1.0]",2025-11-10 05:30:48-08:00,2025-11-10 15:26:00-08:00
64,64,KFEW,Cheyenne F E Warren / Warren Air Force Base,US,WY,41.1333,-104.8672,-0.3,,"[0.5281467425679949, 1.0, 0.439595192915876, 1.0]",2025-11-10 05:34:24-08:00,2025-11-10 15:36:48-08:00
65,65,KBJC,Denver / Broomfield / Countryside,US,CO,39.9088,-105.1172,0.5,,"[0.5787476280834913, 1.0, 0.38899430740037955, 1.0]",2025-11-10 05:32:36-08:00,2025-11-10 15:41:00-08:00
66,66,KSLC,Salt Lake City International  Airport,US,UT,40.7833,-111.9667,6.0,,"[0.9203036053130929, 1.0, 0.04743833017077803, 1.0]",2025-11-10 06:02:00-08:00,2025-11-10 16:06:12-08:00
67,67,KRNO,Reno/Tahoe International  Airport,US,NV,39.4833,-119.7667,12.0,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2025-11-10 06:30:12-08:00,2025-11-10 16:40:24-08:00
68,68,KOAK,Metro Oakland International  Airport,US,CA,37.7167,-122.2333,19.4,,"[0.9812834224598939, 0.058823529411765274, 0.0, 1.0]",2025-11-10 06:36:48-08:00,2025-11-10 16:53:36-08:00
69,69,KFAT,Fresno Air Terminal,US,CA,36.7833,-119.7167,18.2,,"[1.0, 0.14596949891067557, 0.0, 1.0]",2025-11-10 06:24:48-08:00,2025-11-10 16:45:48-08:00
70,70,K41U,Manti-Ephraim Airport,US,UT,39.3313,-111.6127,4.9,,"[0.8570524984187222, 1.0, 0.11068943706514867, 1.0]",2025-11-10 05:57:48-08:00,2025-11-10 16:08:00-08:00
71,71,KGJT,Grand Junction Walker Field,US,CO,39.1333,-108.5333,8.4,,"[1.0, 0.843137254901961, 0.0, 1.0]",2025-11-10 05:44:36-08:00,2025-11-10 15:56:00-08:00
72,72,KLMT,Klamath Falls / Falcon Heights,US,OR,42.1561,-121.7332,9.3,,"[1.0, 0.7850399419026872, 0.0, 1.0]",2025-11-10 06:44:00-08:00,2025-11-10 16:42:12-08:00
73,73,KBOI,Boise Air Terminal,US,ID,43.5667,-116.2333,8.7,,"[1.0, 0.8286129266521426, 0.0, 1.0]",2025-11-10 06:25:24-08:00,2025-11-10 16:17:00-08:00
74,74,KIDA,Idaho Falls / Orvin,US,ID,43.5137,-112.0708,0.0,,"[0.5407969639468686, 1.0, 0.4269449715370023, 1.0]",2025-11-10 06:08:36-08:00,2025-11-10 16:00:12-08:00
75,75,KJAC,Jackson Hole / Moose,US,WY,43.6073,-110.7378,1.4,,"[0.6293485135989879, 1.0, 0.338393421884883, 1.0]",2025-11-10 06:03:12-08:00,2025-11-10 15:54:48-08:00
76,76,KPIR,Pierre / Alto,US,SD,44.3827,-100.286,-1.8,,"[0.43959519291587595, 1.0, 0.5281467425679949, 1.0]",2025-11-10 05:23:36-08:00,2025-11-10 15:11:00-08:00
77,77,KFAR,Hector International Airport,US,ND,46.9333,-96.8167,-3.0,,"[0.3636938646426312, 1.0, 0.6040480708412397, 1.0]",2025-11-10 05:15:48-08:00,2025-11-10 14:50:36-08:00
78,78,KDLH,Duluth International Airport,US,MN,46.8333,-92.2167,-5.7,,"[0.1865907653383934, 1.0, 0.7811511701454776, 1.0]",2025-11-10 04:57:12-08:00,2025-11-10 14:32:36-08:00
79,79,CYQT,"Thunder Bay, Ontario",CA,ON,48.3667,-89.3167,-8.0,,"[0.04743833017077798, 0.9588235294117647, 0.920303605313093, 1.0]",2025-11-10 04:50:00-08:00,2025-11-10 14:16:24-08:00
80,80,CYTS,Timmins Airport,CA,ON,48.57,-81.38,-5.0,,"[0.2371916508538899, 1.0, 0.7305502846299811, 1.0]",2025-11-10 04:18:48-08:00,2025-11-10 13:44:00-08:00
81,81,CWTA,Montreal McTavish,CA,QC,45.5,-73.58,5.1,,"[0.8697027197975963, 1.0, 0.0980392156862745, 1.0]",2025-11-10 03:39:12-08:00,2025-11-10 13:21:12-08:00
82,82,KMPV,Montpelier / Berlin Corners,US,VT,44.2035,-72.5623,3.9,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 03:32:00-08:00,2025-11-10 13:20:36-08:00
83,83,KMHT,Manchester Airport,US,NH,42.9296,-71.4356,12.0,,"[1.0, 0.5816993464052289, 0.0, 1.0]",2025-11-10 03:24:12-08:00,2025-11-10 13:19:24-08:00
84,84,KBOS,Boston Logan International,US,MA,42.3667,-71.0167,9.8,,"[1.0, 0.741466957153232, 0.0, 1.0]",2025-11-10 03:21:48-08:00,2025-11-10 13:18:48-08:00
85,85,KPWM,Portland International  Jetport,US,ME,43.65,-70.1333,6.8,,"[0.9709044908285893, 0.9593318809005086, 0.0, 1.0]",2025-11-10 03:21:12-08:00,2025-11-10 13:12:12-08:00
86,86,KBGR,Bangor / Martells Mobile Home Court,US,ME,44.8074,-68.8281,4.0,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 03:18:48-08:00,2025-11-10 13:04:24-08:00
87,87,CYSJ,Saint John Airport,CA,NB,45.32,-65.89,13.2,,"[1.0, 0.5090777051561368, 0.0, 1.0]",2025-11-10 03:08:00-08:00,2025-11-10 12:51:12-08:00
88,88,CYQM,Moncton Romeo Leblanc International Airport,CA,NB,46.11,-64.68,11.0,,"[1.0, 0.6543209876543212, 0.0, 1.0]",2025-11-10 03:05:00-08:00,2025-11-10 12:44:00-08:00
89,89,CXMI,McNabs Island / Eastern Passage,CA,NS,44.6,-63.5333,12.6,,"[1.0, 0.5526506899055921, 0.0, 1.0]",2025-11-10 02:56:36-08:00,2025-11-10 12:43:24-08:00
90,90,CYYG,Charlottetown Airport,CA,PE,46.29,-63.12,9.8,,"[1.0, 0.741466957153232, 0.0, 1.0]",2025-11-10 02:59:36-08:00,2025-11-10 12:37:24-08:00
91,91,CYYT,St. John's International Airport,CA,NL,47.62,-52.75,5.0,,"[0.8570524984187222, 1.0, 0.11068943706514867, 1.0]",2025-11-10 02:21:12-08:00,2025-11-10 11:52:24-08:00
92,92,CYQX,Gander Intl Airport,CA,NL,48.94,-54.57,3.0,,"[0.730550284629981, 1.0, 0.23719165085388993, 1.0]",2025-11-10 02:32:36-08:00,2025-11-10 11:56:00-08:00
93,93,CYAY,St Anthony / Big Brook,CA,NF,51.3833,-56.1,2.7,,"[0.7179000632511068, 1.0, 0.2498418722327641, 1.0]",2025-11-10 02:46:24-08:00,2025-11-10 11:54:12-08:00
94,94,CZUM,"Churchill Falls, Nfld.",CA,NF,53.55,-64.1,-1.9,,"[0.42694497153700184, 1.0, 0.540796963946869, 1.0]",2025-11-10 03:25:24-08:00,2025-11-10 12:18:12-08:00
95,95,CYVP,Kuujjuaq Airport,CA,QC,58.09,-68.42,-3.2,,"[0.3510436432637571, 1.0, 0.6166982922201139, 1.0]",2025-11-10 04:02:00-08:00,2025-11-10 12:16:24-08:00
96,96,CYFB,Iqaluit Ua,CA,NU,63.75,-68.55,7.5,,"[1.0, 0.9157588961510532, 0.0, 1.0]",2025-11-10 04:36:12-08:00,2025-11-10 11:41:36-08:00
97,97,CXWN,Winnipeg The Forks,CA,MB,49.89,-97.13,-2.0,,"[0.42694497153700184, 1.0, 0.540796963946869, 1.0]",2025-11-10 05:26:00-08:00,2025-11-10 14:42:48-08:00
98,98,KBIS,Bismarck Municipal Airport,US,ND,46.7833,-100.75,-7.0,,"[0.11068943706514844, 1.0, 0.8570524984187226, 1.0]",2025-11-10 05:31:24-08:00,2025-11-10 15:06:48-08:00
99,99,KMLS,Miles City,US,MT,46.4333,-105.8833,-1.3,,"[0.46489563567362424, 1.0, 0.5028462998102468, 1.0]",2025-11-10 05:51:12-08:00,2025-11-10 15:27:48-08:00
100,100,KHLN,Helena Regional Airport,US,MT,46.6,-111.9667,-0.3,,"[0.5281467425679949, 1.0, 0.439595192915876, 1.0]",2025-11-10 06:15:48-08:00,2025-11-10 15:51:48-08:00
101,101,KLWS,Lewiston Nez Perce Co Airport,US,ID,46.3667,-117.0167,9.0,,"[1.0, 0.7995642701525056, 0.0, 1.0]",2025-11-10 06:35:36-08:00,2025-11-10 16:12:48-08:00
102,102,KPDX,Portland International  Airport,US,OR,45.5833,-122.6,9.8,,"[1.0, 0.741466957153232, 0.0, 1.0]",2025-11-10 06:56:00-08:00,2025-11-10 16:37:24-08:00
103,103,KBFI,Seattle / South Park,US,WA,47.53,-122.302,10.9,,"[1.0, 0.6688453159041396, 0.0, 1.0]",2025-11-10 06:59:36-08:00,2025-11-10 16:30:48-08:00
104,104,KGEG,Spokane International Airport,US,WA,47.6167,-117.5333,6.0,,"[0.9203036053130929, 1.0, 0.04743833017077803, 1.0]",2025-11-10 06:41:00-08:00,2025-11-10 16:11:36-08:00
105,105,KHVR,Havre City-County Airport,US,MT,48.55,-109.7667,-1.3,,"[0.46489563567362424, 1.0, 0.5028462998102468, 1.0]",2025-11-10 06:12:12-08:00,2025-11-10 15:37:24-08:00
106,106,CZMJ,Moose Jaw CS,CA,SK,50.33,-105.54,-8.3,,"[0.03478810879190385, 0.9431372549019608, 0.9329538266919671, 1.0]",2025-11-10 06:00:48-08:00,2025-11-10 15:15:12-08:00
107,107,CYYC,Calgary International Airport,CA,AB,51.12,-114.01,0.5,,"[0.5787476280834913, 1.0, 0.38899430740037955, 1.0]",2025-11-10 06:37:24-08:00,2025-11-10 15:46:24-08:00
108,108,CWNM,Nelson CS,CA,BC,49.49,-117.31,2.4,,"[0.6925996204933585, 1.0, 0.27514231499051234, 1.0]",2025-11-10 06:45:12-08:00,2025-11-10 16:05:00-08:00
109,109,CYVR,Vancouver International Airport,CA,BC,49.19,-123.18,7.2,,"[0.9962049335863377, 0.9302832244008717, 0.0, 1.0]",2025-11-10 07:08:00-08:00,2025-11-10 16:29:00-08:00
110,110,CXEC,Edmonton Blatchford,CA,AB,53.57,-113.52,4.0,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 06:44:00-08:00,2025-11-10 15:35:36-08:00
111,111,CYMM,Fort McMurray,CA,AB,56.65,-111.2167,-3.4,,"[0.3383934218848829, 1.0, 0.629348513598988, 1.0]",2025-11-10 06:47:00-08:00,2025-11-10 15:14:00-08:00
112,112,CYYE,Fort Nelson Ua,CA,BC,58.84,-122.57,-1.1,,"[0.47754585705249836, 1.0, 0.4901960784313726, 1.0]",2025-11-10 07:42:48-08:00,2025-11-10 15:48:48-08:00
113,113,PAJN,Juneau International Airport,US,AK,58.35,-134.5667,4.0,,"[0.7938013915243516, 1.0, 0.1739405439595193, 1.0]",2025-11-10 08:28:24-08:00,2025-11-10 16:39:12-08:00
114,114,CYXY,Whitehorse Airport,CA,YT,60.71,-135.07,-3.2,,"[0.3510436432637571, 1.0, 0.6166982922201139, 1.0]",2025-11-10 08:42:48-08:00,2025-11-10 16:27:48-08:00
115,115,CYZF,Yellowknife Airport,CA,NT,62.46,-114.44,-4.6,,"[0.26249209361163817, 1.0, 0.7052498418722328, 1.0]",2025-11-10 07:30:48-08:00,2025-11-10 14:54:12-08:00
116,116,CWDC,Uranium City,CA,SK,59.57,-108.48,-6.0,,"[0.17394054395951927, 1.0, 0.7938013915243517, 1.0]",2025-11-10 06:50:00-08:00,2025-11-10 14:48:12-08:00
117,117,CYTH,Thompson Airport,CA,MB,55.8,-97.86,-12.8,,"[0.0, 0.5823529411764706, 1.0, 1.0]",2025-11-10 05:49:24-08:00,2025-11-10 14:24:12-08:00
118,118,CYBK,Baker Lake Airport,CA,NU,64.3,-96.08,-16.0,,"[0.0, 0.34705882352941175, 1.0, 1.0]",2025-11-10 06:30:48-08:00,2025-11-10 13:27:12-08:00
119,119,CXCM,Cambridge Bay Gsn,CA,NU,69.11,-105.14,-19.8,,"[0.0, 0.049019607843137254, 1.0, 1.0]",2025-11-10 07:57:48-08:00,2025-11-10 13:09:48-08:00
120,120,CZEV,Inuvik,CA,NT,68.32,-133.52,-6.8,,"[0.12333965844402275, 1.0, 0.8444022770398483, 1.0]",2025-11-10 09:41:00-08:00,2025-11-10 15:14:36-08:00
121,121,PAOM,Nome Airport,US,AK,64.5167,-165.4333,-7.3,,"[0.08538899430740036, 1.0, 0.8823529411764706, 1.0]",2025-11-10 11:10:24-08:00,2025-11-10 18:02:00-08:00
122,122,CYRB,Resolute Bay Airport,CA,NU,74.72,-94.97,-16.0,,"[0.0, 0.34705882352941175, 1.0, 1.0]",2024-01-01 00:54:01-08:00,2023-12-31 23:53:00-08:00
123,123,CWEU,Eureka Airport,CA,NU,79.99,-85.81,-27.0,,"[0.0, 0.0, 0.5, 1.0]",2024-01-01 00:54:01-08:00,2023-12-31 23:53:00-08:00
